carat,cut,color,clarity,depth,table,price,radius
0.29,4,2,4,62.4,58,334,2.1
0.31,2,1,2,63.3,58,335,2.17
0.3,2,1,3,64.0,55,339,2.125
0.31,5,1,2,62.2,54,344,2.175
0.32,4,6,1,60.9,58,345,2.19
0.3,5,2,2,62.0,54,348,2.155
0.3,2,1,3,63.4,54,351,2.115
0.3,2,1,3,63.8,56,351,2.115
0.3,3,1,3,62.7,59,351,2.105
0.3,2,2,2,63.3,56,351,2.13
0.31,3,1,3,59.4,62,353,2.195
0.3,3,1,4,62.2,57,357,2.14
0.31,2,3,3,64.0,54,402,2.145
0.33,5,2,2,61.8,55,403,2.245
0.33,5,2,2,61.2,56,403,2.245
0.33,5,1,3,61.1,56,403,2.245
0.32,2,3,2,63.1,56,403,2.17
0.29,4,5,3,62.4,58,403,2.12
0.32,3,3,2,61.8,55,403,2.175
0.32,2,3,2,63.8,56,403,2.18
0.29,3,3,2,60.7,60,404,2.165
0.32,5,2,3,60.9,55,404,2.225
0.3,5,2,2,61.0,59,405,2.15
0.3,4,1,2,59.3,61,405,2.215
0.3,3,2,3,62.6,57,405,2.125
0.3,3,2,3,63.0,57,405,2.14
0.3,2,2,3,63.2,55,405,2.125
0.35,5,2,5,60.9,57,552,2.27
0.3,4,7,3,62.6,59,552,2.115
0.3,5,7,3,62.5,57,552,2.145
0.3,5,7,3,62.1,56,552,2.15
0.42,4,2,2,61.5,59,552,2.39
0.28,5,4,6,61.4,56,553,2.095
0.32,5,2,7,62.0,55,553,2.195
0.31,3,4,3,63.3,57,553,2.165
0.31,4,4,3,61.8,58,553,2.175
0.3,3,3,3,63.1,56,554,2.145
0.3,4,3,3,62.9,59,554,2.14
0.3,4,3,3,62.5,57,554,2.145
0.3,2,3,3,63.7,57,554,2.14
0.38,5,2,2,61.6,56,554,2.325
0.32,4,2,3,62.9,58,554,2.175
0.7,5,6,3,62.5,57,2757,2.85
0.7,5,4,4,61.6,56,2757,2.85
0.71,3,6,4,62.4,57,2759,2.84
0.78,3,4,2,63.8,56,2759,2.905
0.7,2,5,5,59.4,62,2759,2.855
0.73,3,6,3,61.6,59,2760,2.885
0.8,4,3,3,61.5,58,2760,2.985
0.75,3,7,3,63.2,56,2760,2.9
0.75,4,6,3,59.9,54,2760,3.0
0.74,5,4,3,61.6,55,2760,2.9
0.75,4,4,4,61.7,58,2760,2.925
0.8,5,2,5,62.9,56,2760,2.97
0.75,5,4,3,62.2,55,2760,2.935
0.8,4,4,3,63.0,59,2760,2.95
0.74,5,2,6,62.3,55,2761,2.885
0.81,5,5,2,58.8,57,2761,3.07
0.59,5,6,6,62.0,55,2761,2.69
0.8,5,5,2,61.4,57,2761,2.98
0.74,5,6,2,62.2,56,2761,2.9
0.9,4,2,4,63.0,58,2761,3.08
0.74,3,4,3,62.2,59,2762,2.865
0.73,5,5,4,62.6,56,2762,2.885
0.73,5,5,4,62.7,53,2762,2.9
