Страница,Вакансия,Работодатель,Зарплата_сырая,Зарплата_мин,Зарплата_макс,Валюта,До_НДФЛ,Опыт_работы,Город,Ссылка,Описание
0,Team Lead TrustML,ООО HeadHunter::Analytics/Data Science,Опыт 3-6 летМожно удалённо,3.0,6.0,,,Опыт 3-6 лет,Москва,https://omsk.hh.ru/vacancy/134700462?query=ML&hhtmFrom=vacancy_search_list,"Каждый год всё больше пользователей сталкиваются с мошенниками, и мошенники ведут себя всё агрессивнее. Чтобы защитить пользователей hh и в целом создать доверительное пространство для карьеры и трудоустройства, существует направление Trust & Safety. Команда TrustML отвечает за обучение и эксплуатацию ML -моделей, которые оценивают достоверность контента на платформе, помогают модерировать пользовательский контент и обнаруживать мошеннические действия, а также за автоматизацию процессов, связанных с обработкой фрода. Чем предстоит заниматься: ML модели для автоматического обнаружения фрода на сайте: выявлять подозрительные вакансии и резюме, анализировать поведение пользователей; Модерация контента: с помощью машинного обучения проверять заполненность контента, соответствие правилам площадки (отсутствие дискриминации, корректность указанной зарплаты и т.д.); Достоверность контента: анализировать соответствие информации в вакансиях и резюме действительности. Например, завышает ли работодатель зарплату или ведет ли поиск в другую компанию и другое; Выводить модели в продакшн и поддерживать работу сервисов, в которых работают ML модели; Руководить командой из двух DS/ ML специалистов: менторство, развитие, обратная связь; Формирование и приоритизация ML целей направления; Взаимодействие с заказчиками и другими командами по общим задачам. Требования: Имеешь опыт реализации и применения моделей машинного обучения в продакшене; У тебя есть понимание основных методов и алгоритмов Machine Learning; Уверенно владеешь Python (pandas, numpy, pytorch, sklearn, CatBoost); Понимание основных алгоритмов и структур данных; Умеешь работать в команде и общаться с заказчиками на понятном им языке. Будет плюсом: Опыт решения антифрод задач; Опыт в NLP и знание принципов работы нейросетей для обработки текста; Опыт работы с различными источниками данных: SQL, Cassandra, Hive, Presto, Kafka, etc. Условия: Возможность выбора места работы: удаленно или из офиса; Гибкий график рабочего дня; Оформление в соответствии с ТК РФ, «Белая» заработная плата, выплачиваемая точно в срок; Корпоративное ДМС с первого месяца работы (решаем вопросы со здоровьем быстро и удобно); Возможность профессионального развития, обучение за счет компании, участие в специализированных конференциях."
0,Middle Business Analyst,ТОО Талисман качества,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Алматы,https://omsk.hh.ru/vacancy/137422151?query=ML&hhtmFrom=vacancy_search_list,"We're looking for a Business Analyst who connects customers, business stakeholders and engineering teams. You'll turn complex requirements and data into clear results. Responsibilities - Gather and clarify business requirements, then turn them into clear tasks. - Validate data, run QA/QC and find the root cause of anomalies. - Build dashboards and reports from customer data. - Support customer onboarding, demos, meetings and customer success work. - Look into customer requests, data issues and unexpected system behavior. - Use AI tools to make analysis and documentation more efficient. Requirements - 4-8+ years as a Data, Business, Product or Solution Analyst. - Degree in a quantitative field (Data Analytics, Statistics, Math, CS, Engineering, Economics). - Strong skills in SQL, Excel and Tableau and/or Power BI. - Knowledge of statistics, regression, forecasting and data quality metrics. - Experience working directly with customers and stakeholders, and creating KPIs and executive summaries. - Experience owning initiatives end to end, including when requirements are unclear, with measurable business impact. - Excellent spoken and written English. Able to work independently in a fast-paced environment. Nice to Have - Experience in Energy, Trading, Risk Management or Financial Services. - Customer-facing analytics in enterprise SaaS. - Python, ML, AI/LLM, predictive analytics or simulation models. - Understanding of R², RMSE, MAE, MAPE, confidence intervals and correlation. About us: - Leading QA Provider: a1qa boasts a team of over 1000 specialists, offering end-to-end QA solutions. - Comprehensive QA Expertise: Our services include automated testing, QA management, and coordination of distributed teams for integrative projects. - Client-Centric Approach: Specializing in pre-project services, acceptance testing, and IT security auditing, we prioritize customer satisfaction and risk mitigation."
0,Middle Business Analyst,Itransition Software Georgia LLC,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Баку,https://omsk.hh.ru/vacancy/137421569?query=ML&hhtmFrom=vacancy_search_list,"We're looking for a Business Analyst who connects customers, business stakeholders and engineering teams. You'll turn complex requirements and data into clear results. Responsibilities - Gather and clarify business requirements, then turn them into clear tasks. - Validate data, run QA/QC and find the root cause of anomalies. - Build dashboards and reports from customer data. - Support customer onboarding, demos, meetings and customer success work. - Look into customer requests, data issues and unexpected system behavior. - Use AI tools to make analysis and documentation more efficient. Requirements - 4-8+ years as a Data, Business, Product or Solution Analyst. - Degree in a quantitative field (Data Analytics, Statistics, Math, CS, Engineering, Economics). - Strong skills in SQL, Excel and Tableau and/or Power BI. - Knowledge of statistics, regression, forecasting and data quality metrics. - Experience working directly with customers and stakeholders, and creating KPIs and executive summaries. - Experience owning initiatives end to end, including when requirements are unclear, with measurable business impact. - Excellent spoken and written English. Able to work independently in a fast-paced environment. Nice to Have - Experience in Energy, Trading, Risk Management or Financial Services. - Customer-facing analytics in enterprise SaaS. - Python, ML, AI/LLM, predictive analytics or simulation models. - Understanding of R², RMSE, MAE, MAPE, confidence intervals and correlation. About us: - Leading QA Provider: a1qa boasts a team of over 1000 specialists, offering end-to-end QA solutions. - Comprehensive QA Expertise: Our services include automated testing, QA management, and coordination of distributed teams for integrative projects. - Client-Centric Approach: Specializing in pre-project services, acceptance testing, and IT security auditing, we prioritize customer satisfaction and risk mitigation."
0,Middle Business Analyst,Itransition Software Georgia LLC,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Тбилиси,https://omsk.hh.ru/vacancy/137421366?query=ML&hhtmFrom=vacancy_search_list,"We're looking for a Business Analyst who connects customers, business stakeholders and engineering teams. You'll turn complex requirements and data into clear results. Responsibilities - Gather and clarify business requirements, then turn them into clear tasks. - Validate data, run QA/QC and find the root cause of anomalies. - Build dashboards and reports from customer data. - Support customer onboarding, demos, meetings and customer success work. - Look into customer requests, data issues and unexpected system behavior. - Use AI tools to make analysis and documentation more efficient. Requirements - 4-8+ years as a Data, Business, Product or Solution Analyst. - Degree in a quantitative field (Data Analytics, Statistics, Math, CS, Engineering, Economics). - Strong skills in SQL, Excel and Tableau and/or Power BI. - Knowledge of statistics, regression, forecasting and data quality metrics. - Experience working directly with customers and stakeholders, and creating KPIs and executive summaries. - Experience owning initiatives end to end, including when requirements are unclear, with measurable business impact. - Excellent spoken and written English. Able to work independently in a fast-paced environment. Nice to Have - Experience in Energy, Trading, Risk Management or Financial Services. - Customer-facing analytics in enterprise SaaS. - Python, ML, AI/LLM, predictive analytics or simulation models. - Understanding of R², RMSE, MAE, MAPE, confidence intervals and correlation. About us: - Leading QA Provider: a1qa boasts a team of over 1000 specialists, offering end-to-end QA solutions. - Comprehensive QA Expertise: Our services include automated testing, QA management, and coordination of distributed teams for integrative projects. - Client-Centric Approach: Specializing in pre-project services, acceptance testing, and IT security auditing, we prioritize customer satisfaction and risk mitigation."
0,ML Enginee (ML HomeOS),ООО СалютДевайсы,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Москва,https://omsk.hh.ru/vacancy/137437721?query=ML&hhtmFrom=vacancy_search_list,"SberDevices — инновационное направление экосистемы Сбера, которое создает умные устройства, виртуальных ассистентов и платформенные решения в области NLP, computer vision, speech и ML -инфраструктуры. Команда ML HomeOS ищет ML Engineer, который будет заниматься обучением и адаптацией языковых моделей для пользовательских сценариев умных устройств: голосовой ассистент, управление HomeOS, персонализация и контекстное понимание, с фокусом на продакшен-качество и масштабирование. Чем ты будешь заниматься: Обучение и дообучение языковых моделей: continued pretraining / domain-adaptive pretraining под задачи HomeOS; Проведение Supervised Fine-Tuning (SFT) для decoder-only LLM, обучение и адаптация encoder-моделей под прикладные сценарии; Применение и развитие parameter-efficient fine-tuning подходов: LoRA / adapters / prefix- и prompt-tuning; Обучение и адаптация BERT-подобных encoder-моделей, а также классификаторов и encoder / seq2seq моделей для NLP-задач; Составление требований для датасетов SFT; Построение и поддержка пайплайнов обучения и переобучения моделей; Оптимизация моделей под продакшен-ограничения (latency, память, масштабирование); Взаимодействие с инфраструктурными командами при интеграции моделей в ML -платформу HomeOS. Мы ожидаем: Опыт работы в ML / NLP от 3 лет; Практический опыт fine-tuning трансформеров; Опыт работы с LoRA / adapters / PEFT-подходами; Понимание архитектур ecoder-only, decoder-only, encoder-decoder); Опыт обучения классификаторов и encoder / seq2seq моделей; Понимание ML -продакшена: воспроизводимость, версионирование, стабильность и воспроизводимость инференса; Опыт оптимизации обучения и инференса моделей; Навыки построения ML -пайплайнов и работы с оркестраторами. Будет плюсом: Опыт участия в pretraining или large-scale fine-tuning проектах; Понимание особенностей продакшен-эксплуатации LLM; Опыт domain adaptation (continued pretraining, SFT, data-centric подходы) под закрытые или специфичные домены; Опыт распределённого обучения и оптимизации инференса; Опыт работы с ML -инфраструктурой для high-load систем; Опыт работы с: * RLHF / preference optimization * Distillation / quantization * Inference optimization (KV-cache, batching и др.) Что мы предлагаем: Сильная команда, амбициозные задачи и продукты, которыми пользуются миллионы; Удобный формат работы с возможностью гибкого начала рабочего дня; Надёжная программа ДМС и НС с первого месяца работы; Обучение и развитие: курсы и тренинги от корпоративного университета, внешнее обучение за счёт компании и участие в конференциях; Льготная ипотека и корпоративная пенсионная программа; СберКлуб: cкидки от партнёров, повышенные бонусы, акции экосистемы, подписка СберПрайм+."
0,ML-инженер,АО Центр Биометрических Технологий,Опыт 1-3 года,1.0,3.0,,,Опыт 1-3 года,Москва,https://omsk.hh.ru/vacancy/136368830?query=ML&hhtmFrom=vacancy_search_list,"Чем предстоит заниматься: разработка с нуля и доработка компонентов для обработки биометрических образцов (изображения лиц, голосовые файлы, видео-потоки); развитие ключевого продукта платформы , отвечающего за контроль качества биометрии (проверка ""живости"", четкости, шумов); борьба с техническим долгом : вы будете участвовать в миграции с устаревших монолитных решений на современный стек, улучшать архитектуру модулей и оптимизировать производительность (ускорение инференса); работа в многомодульной среде : прикладной слой (API): интеграция алгоритмов в сервисы; библиотечный слой (ML): работа с ML-моделями и алгоритмами анализа. Мы будем рады, если у вас: опыт коммерческой разработки на Python от 2 лет и уверенное владение PyTorch ; архитектурное мышление. Мы ценим умение писать чистый, поддерживаемый код (Type Hints, SOLID, паттерны) выше, чем знание конкретной библиотеки. Стек меняется, а навык проектирования — нет; опыт исследования open-source решений : вы умеете сравнивать архитектуры моделей, анализировать обучаемость и понимаете, как оценивать наличие и качество открытых весов; понимание жизненного цикла данных: сбор, подготовка, аугментация и разметка датасетов ; навыки построения метрик для ML-моделей (ROC-AUC, EER, FAR/FRR) и умение интерпретировать их поведение. Будет большим плюсом: опыт составления и анализа алгоритмов Computer Vision для обработки лиц (Landmarks, Liveness) или алгоритмов обработки голоса (VAD, ASR, Speaker Recognition); практика с библиотеками: OpenCV, dlib, ONNX Runtime, Matplotlib, Pandas ; навыки Fine-tuning моделей под специфические прикладные задачи (дообучение на своих датасетах); опыт разработки на C++ (для написания высокопроизводительных биндингов или оптимизации); принципиальное знакомство с Docker и контейнеризацией; умение работать самостоятельно : разбирать требования, предлагать несколько решений с оценкой рисков и доводить задачи до релиза без постоянного контроля. Мы предлагаем: работу в аккредитованной IT-компании, участие в развитии стратегической государственной системы; гибридный формат: 2 дня в офисе (Москва или Воронеж), 3 дня удалённо; официальное оформление по ТК РФ, «белая» заработная плата. квартальные и годовые премии; ДМС после прохождения испытательного срока; кафетерий льгот (дополнительные опции на выбор); возможности для обучения, повышения квалификации, участия в профильных конференциях; молодой, профессиональный коллектив и интересные задачи."
0,ML-аналитик (CV),АО ЭДС,"от400 000₽за месяц,на рукиОпыт 3-6 летВыплаты: Два раза в месяц",,,₽,False,Опыт 3-6 лет,"Ижевск, р-н Индустриальный",https://omsk.hh.ru/vacancy/137444601?query=ML&hhtmFrom=vacancy_search_list,"Современная и высокотехнологичная компания, занимающаяся разработкой высоконагруженных систем и приложений, прикладного ПО и продуктов в области искусственного интеллекта, нейронных сетей и машинного обучения в поиске ML -аналитика в области Computer Vision. Обязанности: • Исследования и мониторинг - Мониторинг SOTA-решений в CV (PapersWithCode, arXiv, CVPR/ICCV); - Анализ архитектур конкурентов (через публикации, патенты, открытые репозитории); - Анализ демо / презентаций конкурентов и технический разбор; - Поиск и бенчмаркинг открытых датасетов по запросу от ML-инженеров. • Аудит данных - EDA датасетов: анализ дисбаланса классов, различных значимых распределений (сезонность, время суток и т.д.); - Анализ качества разметки: поиск ошибок, проблемных мест, предложения по изменению классов / правил разметки; - Gap-анализ: сравнение доступных данных с требованиями целевых сценариев (domain gap analysis). • Поддержка команды - Разработка инструментов визуализации статистики датасетов (дашборды качества данных); - Автоматизация отчетности по метрикам моделей (сравнение версий моделей по классам); - Ведение технической документации. Требования: • Способность извлекать технические инсайты из визуальных материалов (анализ артефактов в демо-видео, понимание ""как это работает"" по внешним проявлениям); • Навыки системного мышления: умение оценивать идеи не только с точки зрения технической новизны, но и с учетом имеющихся данных и инфраструктуры; • Уверенное владение Python (pandas, numpy, matplotlib, opencv) для анализа данных и прототипирования; • Глубокое понимание метрик Computer Vision (mAP, IoU, F1-score, MOTA/MOTP) и принципов оценки качества моделей детекции и трекинга; • Опыт работы с форматами данных (COCO, YOLO, VOC) и инструментами разметки (CVAT, LabelStudio); • Умение читать и анализировать научные статьи (arXiv, CVPR, ICCV) и техническую документацию; • Понимание ограничений edge-устройств и мобильных платформ (оптимизация моделей, квантизация, работа с ограниченными ресурсами); • Технический английский (чтение и анализ первоисточников). Будет плюсом: • Опыт работы с видеоаналитикой в сценариях с высокой динамикой (движущиеся камеры, сложные условия съемки); • Понимание аппаратных архитектур (Jetson, мобильные процессоры, NPU) и их влияния на выбор алгоритмов; • Опыт в технологическом консалтинге, стратегическом анализе или research-ролях; • Знание методов синтетической генерации данных (simulation, domain randomization); • Базовое понимание MLOps и жизненного цикла ML-моделей (версионирование данных, A/B тестирование). Условия: • Работа в аккредитованной IT компании; • Оформление в соответствии с ТК РФ (белая ЗП, выплаты больничных и отпускных); • Премия по результатам работы за месяц/год; • ДМС-получение услуг в соответствии со стажем работы в компании; • Оплата такси до офиса и обратно (до 30 тыс. в месяц); • Организованное питание (обед, ужин – все вместе 150 руб./день) на территории компании; • Комфортные условия труда (современные ПК, два монитора, дооснащение по просьбе сотрудника); • Дополнительные выплаты при важных событиях в жизни (рождение ребенка, свадьба и тд); • Подарки к праздникам для детей; • Путевки в детские лагеря; • Компенсация затрат на переезд в г. Ижевск, материальная помощь при аренде жилья."
0,ML-инженер (LLM),"ВСК, САО",Опыт 3-6 летМожно удалённо,3.0,6.0,,,Опыт 3-6 лет,Москва,https://omsk.hh.ru/vacancy/137443740?query=ML&hhtmFrom=vacancy_search_list,"О проекте: Ищем ML -инженера (LLM) для создания сложных агентских и мультиагентских систем. Вам предстоит решать сложные прикладные задачи, работать над безопасностью LLM и автоматизировать текстовый анализ. Стек: Python, LangChain, LlamaIndex Команда: 7 человек (DS, ML инженеры) Чем предстоит заниматься: Разработка приложений и фреймворков на базе больших языков моделей Выбор, адаптация и внедрение готовых моделей LLM (GPT-подобных) под конкретные задачи Написание промптов, разработка RAG-пайплайнов Публикация отказоустойчивых сервисов на базе LLM Повышение стабильности и качества текущих сценариев анализа текстов, оптимизация кода Участие в разработке корпоративной платформы для управления AI-агентами Что мы ждем: Высшее техническое/математическое образование Уверенный Python и опыт работы с LangChain, LlamaIndex или аналогичными инструментами Опыт работы с open-source LLM: Llama, Qwen, DeepSeek, Mistral или аналогичными моделями Опыт построения RAG-систем: чанкинг, эмбеддинги, векторные базы, реранкинг, работа с неструктурированными документами Понимание вопросов качества и безопасности LLM-систем: hallucinations, prompt injection, утечки данных, разграничение доступов Опыт разработки LLM / AI-решений, которые работают не только как чат-бот, а решают прикладные задачи пользователя Опыт проектирования AI-агентов: работа с контекстом, данными, пользовательским запросом и последовательностью действий"
0,ML Engineer,Tech Duck,Опыт 1-3 годаМожно удалённо,1.0,3.0,,,Опыт 1-3 года,Сербия,https://omsk.hh.ru/vacancy/137419079?query=ML&hhtmFrom=vacancy_search_list,"We are looking for an ML Engineer in the EU to join an international software development and outsourcing company and work on a project focused on designing, training, and deploying scalable machine learning models, building ML pipelines, and supporting production-ready AI solutions in an international tech environment. Andersen is a pre-IPO software development company providing a full cycle of services. For over 19 years, we have been helping enterprises and middle-sized firms worldwide transform their businesses by creating effective digital solutions using innovative technologies. Our company operates across a global network of 16 development centers, strategically located in North America, Western and Central Europe, the Middle East, and the Asia-Pacific region. With a strong team of over 3,500 highly skilled professionals, we combine deep domain expertise and advanced technical capabilities to consistently deliver exceptional results for our clients. Responsibilities: Designing, training, and evaluating machine learning models (supervised, unsupervised, NLP, etc.). Building scalable data and ML pipelines using modern tools. Collaborating with subject matter experts and analysts to prepare training datasets. Deploying models for production (batch or real-time inference). Monitoring and maintaining model performance and data quality. Optimizing models for performance, interpretability, and cost. Documenting ML workflows and ensuring reproducibility. Requirements: Experience as a Machine Learning Engineer or in a similar role for 2+ years. Proficiency in Python, including hands-on experience with libraries such as scikit-learn, pandas, NumPy, and matplotlib. Strong understanding of core ML concepts – regression, classification, clustering, model validation, and performance metrics. Practical experience with deep learning frameworks such as TensorFlow, PyTorch, or Keras. Proven experience building, training, and deploying ML models using AWS SageMaker. Familiarity with AWS Bedrock for working with foundation and generative models (e.g., fine-tuning and orchestration of LLMs). Hands-on experience with data preprocessing, feature engineering, and model evaluation. Knowledge of SQL and experience working with structured and semi-structured datasets. Understanding of ML model deployment (e.g., REST APIs with FastAPI or Flask; model packaging and containerization with Docker). Exposure to MLOps practices – pipeline automation, model versioning, monitoring, and reproducibility. Familiarity with version control systems (e.g., Git). Strong analytical thinking, communication, and problem-solving skills. Willingness to stay current with emerging ML techniques, frameworks, and cloud AI tools. Level of English – from Upper-Intermediate and above. Level of German – from Intermediate+ and above. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities."
0,ML-инженер,Т-Банк. ИТ. Разработка,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,"Томск, р-н Кировский",https://omsk.hh.ru/vacancy/136292276?query=ML&hhtmFrom=vacancy_search_list,"Мы создаем и применяем AI-технологии для развития финансовой экосистемы Т-Банка, внедряем машинное обучение в продукты и внутренние процессы компании, делаем решения качественнее, безопаснее и удобнее для пользователей, вкладываемся в долгосрочные исследования. Сейчас мы в поисках ML -инженеров, которые привнесут экспертизу и свой вклад в развитие Центра технологий искусственного интеллекта. Наши технологии Диалоговые системы . Обучаем финансового ассистента поддерживать разговор и отвечать на запросы пользователей в чате с поддержкой Компьютерное зрение . Делаем безопасную авторизацию по лицу, оживляем фотографии для реалистичной анимации, распознаем документы и многое другое Рекомендательные системы . Учимся предугадывать желания пользователей, чтобы предлагать им именно то, что нужно Речевые технологии . Автоматизируем голосовое общение между бизнесом и клиентами ML -антифрод . С помощью алгоритмов оберегаем пользователей от мошенников, оперативно замечая подозрительные действия в личном кабинете Предиктивные технологии . Прогнозируем будущее клиентов, чтобы помогать им контролировать финансы. Почему Т-Банк? Делаем жизнь миллионов людей лучше — ассистент Олег, социальная сеть Пульс, персонализированная lifestyle экосистема, предиктивные интерфейсы для finance management Даем возможность как закинуть наработки в прод на миллионы пользователей, так и делать исследования в своей области Развиваем и делимся опытом по всем областям ML : CV, NLP, RecSys, Speech и Time Series. Проводим внутреннием семинары, обсуждаем последние новости AI Есть выстроенные процессы и инфраструктура Т-Банка, но с отсутствием бюрократии больших организаций Фокус внутри компании на разработке в области искусственного интеллекта Есть лаборатория на Физтехе, с которой можно и нужно делать коллаборации Мало легаси и большой impact каждого разработчика Обязанности: Изучение научных статей, генерирование гипотез, постановка экспериментов на их основе и донесение результатов до команды Улучшение качества моделей в различных сценариях Ускорение работы моделей с применением современных методов оптимизации и архитектур Написание воспроизводимого кода, оформление экспериментов в воспроизводимые пайплайны, включающие разметку и обработку данных, обучение моделей и валидацию системы в целом Требования: Опыт разработки моделей машинного обучения с использованием современных DL фреймворков (Tensorflow, Pytorch, Keras, etc) и применения их в продакшене Глубокое понимание принципов работы современных алгоритмов машинного обучения Высокий уровень знания Python Умение декомпозировать задачу в переиспользуемые и тестируемые библиотеки и компоненты Хорошая теоретическая подготовка в областях математики, алгоритмов и структур данных, прикладной статистики Умение самостоятельно изучать научные статьи на английском языке и желание ставить эксперименты на их основе Практические знания Linux, Git, Bash, Docker Мы предлагаем: Оплату участия в топ AI конференциях 2-3 раза в год Работу в офисе. График работы — гибридный Платформу обучения и развития Т-Банк Апгрейд. Курсы, тренинги, вебинары и базы знаний. Поддержка менторов и наставников, помощь в поиске точек роста и карьерном развитии Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким Компенсацию такси и 50% затрат на спорт от стоимости абонемента Компенсацию обедов. А если захотите перекусить, есть кухня с чаем, кофе и фруктами Достойную зарплату — обсудим ее на собеседовании Возможность работы в аккредитованной ИТ-компании"
