Страница,Вакансия,Работодатель,Зарплата_сырая,Зарплата_мин,Зарплата_макс,Валюта,До_НДФЛ,Опыт_работы,Город,Ссылка,Описание,Описание_cleaned
0,Team Lead TrustML,ООО HeadHunter::Analytics/Data Science,Опыт 3-6 летМожно удалённо,3.0,6.0,,,Опыт 3-6 лет,Москва,https://omsk.hh.ru/vacancy/134700462?query=ML&hhtmFrom=vacancy_search_list,"Каждый год всё больше пользователей сталкиваются с мошенниками, и мошенники ведут себя всё агрессивнее. Чтобы защитить пользователей hh и в целом создать доверительное пространство для карьеры и трудоустройства, существует направление Trust & Safety. Команда TrustML отвечает за обучение и эксплуатацию ML -моделей, которые оценивают достоверность контента на платформе, помогают модерировать пользовательский контент и обнаруживать мошеннические действия, а также за автоматизацию процессов, связанных с обработкой фрода. Чем предстоит заниматься: ML модели для автоматического обнаружения фрода на сайте: выявлять подозрительные вакансии и резюме, анализировать поведение пользователей; Модерация контента: с помощью машинного обучения проверять заполненность контента, соответствие правилам площадки (отсутствие дискриминации, корректность указанной зарплаты и т.д.); Достоверность контента: анализировать соответствие информации в вакансиях и резюме действительности. Например, завышает ли работодатель зарплату или ведет ли поиск в другую компанию и другое; Выводить модели в продакшн и поддерживать работу сервисов, в которых работают ML модели; Руководить командой из двух DS/ ML специалистов: менторство, развитие, обратная связь; Формирование и приоритизация ML целей направления; Взаимодействие с заказчиками и другими командами по общим задачам. Требования: Имеешь опыт реализации и применения моделей машинного обучения в продакшене; У тебя есть понимание основных методов и алгоритмов Machine Learning; Уверенно владеешь Python (pandas, numpy, pytorch, sklearn, CatBoost); Понимание основных алгоритмов и структур данных; Умеешь работать в команде и общаться с заказчиками на понятном им языке. Будет плюсом: Опыт решения антифрод задач; Опыт в NLP и знание принципов работы нейросетей для обработки текста; Опыт работы с различными источниками данных: SQL, Cassandra, Hive, Presto, Kafka, etc. Условия: Возможность выбора места работы: удаленно или из офиса; Гибкий график рабочего дня; Оформление в соответствии с ТК РФ, «Белая» заработная плата, выплачиваемая точно в срок; Корпоративное ДМС с первого месяца работы (решаем вопросы со здоровьем быстро и удобно); Возможность профессионального развития, обучение за счет компании, участие в специализированных конференциях.",каждый год всё большой пользователь сталкиваться мошенник мошенник вести всё агрессивный защитить пользователь hh целое создать доверительный пространство карьера трудоустройство существовать направление trust safety команда trustml отвечать обучение эксплуатация ml -модель который оценивать достоверность контент платформа помогать модерировать пользовательский контент обнаруживать мошеннический действие также автоматизация процесс связанный обработка фрод предстоять заниматься ml модель автоматический обнаружение фрод сайт выявлять подозрительный вакансия резюме анализировать поведение пользователь модерация контент помощь машинный обучение проверять заполненность контент соответствие правило площадка отсутствие дискриминация корректность указанный зарплата далее достоверность контент анализировать соответствие информация вакансия резюме действительность например завышать работодатель зарплата вести поиск компания выводить модель продакшн поддерживать работа сервис который работать ml модель руководить команда ds ml специалист менторство развитие обратный связь формирование приоритизация ml цель направление взаимодействие заказчик команда общий задача требование иметь опыт реализация применение модель машинный обучение продакшен понимание основный метод алгоритм machine learning уверенно владеть python pandas numpy pytorch sklearn catboost понимание основный алгоритм структура данные уметь работать команда общаться заказчик понятный язык плюс опыт решение антифрод задача опыт nlp знание принцип работа нейросеть обработка текст опыт работа различный источник данные sql cassandra hive presto kafka etc условие возможность выбор место работа удалённый офис гибкий график рабочий день оформление соответствие тк рф белый заработный плата выплачивать точно срок корпоративный дмс первый месяц работа решать вопрос здоровье быстро удобно возможность профессиональный развитие обучение счёт компания участие специализированный конференция
0,Middle Business Analyst,ТОО Талисман качества,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Алматы,https://omsk.hh.ru/vacancy/137422151?query=ML&hhtmFrom=vacancy_search_list,"We're looking for a Business Analyst who connects customers, business stakeholders and engineering teams. You'll turn complex requirements and data into clear results. Responsibilities - Gather and clarify business requirements, then turn them into clear tasks. - Validate data, run QA/QC and find the root cause of anomalies. - Build dashboards and reports from customer data. - Support customer onboarding, demos, meetings and customer success work. - Look into customer requests, data issues and unexpected system behavior. - Use AI tools to make analysis and documentation more efficient. Requirements - 4-8+ years as a Data, Business, Product or Solution Analyst. - Degree in a quantitative field (Data Analytics, Statistics, Math, CS, Engineering, Economics). - Strong skills in SQL, Excel and Tableau and/or Power BI. - Knowledge of statistics, regression, forecasting and data quality metrics. - Experience working directly with customers and stakeholders, and creating KPIs and executive summaries. - Experience owning initiatives end to end, including when requirements are unclear, with measurable business impact. - Excellent spoken and written English. Able to work independently in a fast-paced environment. Nice to Have - Experience in Energy, Trading, Risk Management or Financial Services. - Customer-facing analytics in enterprise SaaS. - Python, ML, AI/LLM, predictive analytics or simulation models. - Understanding of R², RMSE, MAE, MAPE, confidence intervals and correlation. About us: - Leading QA Provider: a1qa boasts a team of over 1000 specialists, offering end-to-end QA solutions. - Comprehensive QA Expertise: Our services include automated testing, QA management, and coordination of distributed teams for integrative projects. - Client-Centric Approach: Specializing in pre-project services, acceptance testing, and IT security auditing, we prioritize customer satisfaction and risk mitigation.",we re looking for a business analyst who connects customers business stakeholders and engineering teams you ll turn complex requirements and data into clear results responsibilities gather and clarify business requirements then turn them into clear tasks validate data run qa qc and find the root cause of anomalies build dashboards and reports from customer data support customer onboarding demos meetings and customer success work look into customer requests data issues and unexpected system behavior use ai tools to make analysis and documentation more efficient requirements years as a data business product or solution analyst degree in a quantitative field data analytics statistics math cs engineering economics strong skills in sql excel and tableau and or power bi knowledge of statistics regression forecasting and data quality metrics experience working directly with customers and stakeholders and creating kpis and executive summaries experience owning initiatives end to end including when requirements are unclear with measurable business impact excellent spoken and written english able to work independently in a fast-paced environment nice to have experience in energy trading risk management or financial services customer-facing analytics in enterprise saas python ml ai llm predictive analytics or simulation models understanding of r² rmse mae mape confidence intervals and correlation about us leading qa provider anumqa boasts a team of over num specialists offering end-to-end qa solutions comprehensive qa expertise our services include automated testing qa management and coordination of distributed teams for integrative projects client-centric approach specializing in pre-project services acceptance testing and it security auditing we prioritize customer satisfaction and risk mitigation
0,Middle Business Analyst,Itransition Software Georgia LLC,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Баку,https://omsk.hh.ru/vacancy/137421569?query=ML&hhtmFrom=vacancy_search_list,"We're looking for a Business Analyst who connects customers, business stakeholders and engineering teams. You'll turn complex requirements and data into clear results. Responsibilities - Gather and clarify business requirements, then turn them into clear tasks. - Validate data, run QA/QC and find the root cause of anomalies. - Build dashboards and reports from customer data. - Support customer onboarding, demos, meetings and customer success work. - Look into customer requests, data issues and unexpected system behavior. - Use AI tools to make analysis and documentation more efficient. Requirements - 4-8+ years as a Data, Business, Product or Solution Analyst. - Degree in a quantitative field (Data Analytics, Statistics, Math, CS, Engineering, Economics). - Strong skills in SQL, Excel and Tableau and/or Power BI. - Knowledge of statistics, regression, forecasting and data quality metrics. - Experience working directly with customers and stakeholders, and creating KPIs and executive summaries. - Experience owning initiatives end to end, including when requirements are unclear, with measurable business impact. - Excellent spoken and written English. Able to work independently in a fast-paced environment. Nice to Have - Experience in Energy, Trading, Risk Management or Financial Services. - Customer-facing analytics in enterprise SaaS. - Python, ML, AI/LLM, predictive analytics or simulation models. - Understanding of R², RMSE, MAE, MAPE, confidence intervals and correlation. About us: - Leading QA Provider: a1qa boasts a team of over 1000 specialists, offering end-to-end QA solutions. - Comprehensive QA Expertise: Our services include automated testing, QA management, and coordination of distributed teams for integrative projects. - Client-Centric Approach: Specializing in pre-project services, acceptance testing, and IT security auditing, we prioritize customer satisfaction and risk mitigation.",we re looking for a business analyst who connects customers business stakeholders and engineering teams you ll turn complex requirements and data into clear results responsibilities gather and clarify business requirements then turn them into clear tasks validate data run qa qc and find the root cause of anomalies build dashboards and reports from customer data support customer onboarding demos meetings and customer success work look into customer requests data issues and unexpected system behavior use ai tools to make analysis and documentation more efficient requirements years as a data business product or solution analyst degree in a quantitative field data analytics statistics math cs engineering economics strong skills in sql excel and tableau and or power bi knowledge of statistics regression forecasting and data quality metrics experience working directly with customers and stakeholders and creating kpis and executive summaries experience owning initiatives end to end including when requirements are unclear with measurable business impact excellent spoken and written english able to work independently in a fast-paced environment nice to have experience in energy trading risk management or financial services customer-facing analytics in enterprise saas python ml ai llm predictive analytics or simulation models understanding of r² rmse mae mape confidence intervals and correlation about us leading qa provider anumqa boasts a team of over num specialists offering end-to-end qa solutions comprehensive qa expertise our services include automated testing qa management and coordination of distributed teams for integrative projects client-centric approach specializing in pre-project services acceptance testing and it security auditing we prioritize customer satisfaction and risk mitigation
0,Middle Business Analyst,Itransition Software Georgia LLC,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Тбилиси,https://omsk.hh.ru/vacancy/137421366?query=ML&hhtmFrom=vacancy_search_list,"We're looking for a Business Analyst who connects customers, business stakeholders and engineering teams. You'll turn complex requirements and data into clear results. Responsibilities - Gather and clarify business requirements, then turn them into clear tasks. - Validate data, run QA/QC and find the root cause of anomalies. - Build dashboards and reports from customer data. - Support customer onboarding, demos, meetings and customer success work. - Look into customer requests, data issues and unexpected system behavior. - Use AI tools to make analysis and documentation more efficient. Requirements - 4-8+ years as a Data, Business, Product or Solution Analyst. - Degree in a quantitative field (Data Analytics, Statistics, Math, CS, Engineering, Economics). - Strong skills in SQL, Excel and Tableau and/or Power BI. - Knowledge of statistics, regression, forecasting and data quality metrics. - Experience working directly with customers and stakeholders, and creating KPIs and executive summaries. - Experience owning initiatives end to end, including when requirements are unclear, with measurable business impact. - Excellent spoken and written English. Able to work independently in a fast-paced environment. Nice to Have - Experience in Energy, Trading, Risk Management or Financial Services. - Customer-facing analytics in enterprise SaaS. - Python, ML, AI/LLM, predictive analytics or simulation models. - Understanding of R², RMSE, MAE, MAPE, confidence intervals and correlation. About us: - Leading QA Provider: a1qa boasts a team of over 1000 specialists, offering end-to-end QA solutions. - Comprehensive QA Expertise: Our services include automated testing, QA management, and coordination of distributed teams for integrative projects. - Client-Centric Approach: Specializing in pre-project services, acceptance testing, and IT security auditing, we prioritize customer satisfaction and risk mitigation.",we re looking for a business analyst who connects customers business stakeholders and engineering teams you ll turn complex requirements and data into clear results responsibilities gather and clarify business requirements then turn them into clear tasks validate data run qa qc and find the root cause of anomalies build dashboards and reports from customer data support customer onboarding demos meetings and customer success work look into customer requests data issues and unexpected system behavior use ai tools to make analysis and documentation more efficient requirements years as a data business product or solution analyst degree in a quantitative field data analytics statistics math cs engineering economics strong skills in sql excel and tableau and or power bi knowledge of statistics regression forecasting and data quality metrics experience working directly with customers and stakeholders and creating kpis and executive summaries experience owning initiatives end to end including when requirements are unclear with measurable business impact excellent spoken and written english able to work independently in a fast-paced environment nice to have experience in energy trading risk management or financial services customer-facing analytics in enterprise saas python ml ai llm predictive analytics or simulation models understanding of r² rmse mae mape confidence intervals and correlation about us leading qa provider anumqa boasts a team of over num specialists offering end-to-end qa solutions comprehensive qa expertise our services include automated testing qa management and coordination of distributed teams for integrative projects client-centric approach specializing in pre-project services acceptance testing and it security auditing we prioritize customer satisfaction and risk mitigation
0,ML Enginee (ML HomeOS),ООО СалютДевайсы,Опыт 3-6 лет,3.0,6.0,,,Опыт 3-6 лет,Москва,https://omsk.hh.ru/vacancy/137437721?query=ML&hhtmFrom=vacancy_search_list,"SberDevices — инновационное направление экосистемы Сбера, которое создает умные устройства, виртуальных ассистентов и платформенные решения в области NLP, computer vision, speech и ML -инфраструктуры. Команда ML HomeOS ищет ML Engineer, который будет заниматься обучением и адаптацией языковых моделей для пользовательских сценариев умных устройств: голосовой ассистент, управление HomeOS, персонализация и контекстное понимание, с фокусом на продакшен-качество и масштабирование. Чем ты будешь заниматься: Обучение и дообучение языковых моделей: continued pretraining / domain-adaptive pretraining под задачи HomeOS; Проведение Supervised Fine-Tuning (SFT) для decoder-only LLM, обучение и адаптация encoder-моделей под прикладные сценарии; Применение и развитие parameter-efficient fine-tuning подходов: LoRA / adapters / prefix- и prompt-tuning; Обучение и адаптация BERT-подобных encoder-моделей, а также классификаторов и encoder / seq2seq моделей для NLP-задач; Составление требований для датасетов SFT; Построение и поддержка пайплайнов обучения и переобучения моделей; Оптимизация моделей под продакшен-ограничения (latency, память, масштабирование); Взаимодействие с инфраструктурными командами при интеграции моделей в ML -платформу HomeOS. Мы ожидаем: Опыт работы в ML / NLP от 3 лет; Практический опыт fine-tuning трансформеров; Опыт работы с LoRA / adapters / PEFT-подходами; Понимание архитектур ecoder-only, decoder-only, encoder-decoder); Опыт обучения классификаторов и encoder / seq2seq моделей; Понимание ML -продакшена: воспроизводимость, версионирование, стабильность и воспроизводимость инференса; Опыт оптимизации обучения и инференса моделей; Навыки построения ML -пайплайнов и работы с оркестраторами. Будет плюсом: Опыт участия в pretraining или large-scale fine-tuning проектах; Понимание особенностей продакшен-эксплуатации LLM; Опыт domain adaptation (continued pretraining, SFT, data-centric подходы) под закрытые или специфичные домены; Опыт распределённого обучения и оптимизации инференса; Опыт работы с ML -инфраструктурой для high-load систем; Опыт работы с: * RLHF / preference optimization * Distillation / quantization * Inference optimization (KV-cache, batching и др.) Что мы предлагаем: Сильная команда, амбициозные задачи и продукты, которыми пользуются миллионы; Удобный формат работы с возможностью гибкого начала рабочего дня; Надёжная программа ДМС и НС с первого месяца работы; Обучение и развитие: курсы и тренинги от корпоративного университета, внешнее обучение за счёт компании и участие в конференциях; Льготная ипотека и корпоративная пенсионная программа; СберКлуб: cкидки от партнёров, повышенные бонусы, акции экосистемы, подписка СберПрайм+.",sberdevices инновационный направление экосистема сбер который создавать умный устройство виртуальный ассистент платформенный решение область nlp computer vision speech ml -инфраструктура команда ml homeos искать ml engineer который заниматься обучение адаптация языковой модель пользовательский сценарий умный устройство голосовой ассистент управление homeos персонализация контекстный понимание фокус продакшен-качество масштабирование заниматься обучение дообучение языковой модель continued pretraining domain-adaptive pretraining задача homeos проведение supervised fine-tuning sft decoder-only llm обучение адаптация encoder-модель прикладной сценарий применение развитие parameter-efficient fine-tuning подход lora adapters prefix- prompt-tuning обучение адаптация bert-подобный encoder-модель также классификатор encoder seqnumseq модель nlp-задача составление требование датасет sft построение поддержка пайплайн обучение переобучение модель оптимизация модель продакшен-ограничение latency память масштабирование взаимодействие инфраструктурный команда интеграция модель ml -платформа homeos ожидать опыт работа ml nlp num год практический опыт fine-tuning трансформер опыт работа lora adapters peft-подход понимание архитектура ecoder-only decoder-only encoder-decoder опыт обучение классификатор encoder seqnumseq модель понимание ml -продаксить воспроизводимость версионирование стабильность воспроизводимость инференс опыт оптимизация обучение инференс модель навык построение ml -пайплайн работа оркестратор плюс опыт участие pretraining large-scale fine-tuning проект понимание особенность продакшен-эксплуатация llm опыт domain adaptation continued pretraining sft data-centric подход закрытый специфичный домен опыт распределённый обучение оптимизация инференс опыт работа ml -инфраструктура high-load система опыт работа rlhf preference optimization distillation quantization inference optimization kv-cache batching др предлагать сильный команда амбициозный задача продукт который пользоваться миллион удобный формат работа возможность гибкий начало рабочий день надёжный программа дмс нс первый месяц работа обучение развитие курс тренинг корпоративный университет внешний обучение счёт компания участие конференция льготный ипотека корпоративный пенсионный программа сберклуб c кидка партнёр повышенный бонус акция экосистема подписка сберпрайм
0,ML-инженер,АО Центр Биометрических Технологий,Опыт 1-3 года,1.0,3.0,,,Опыт 1-3 года,Москва,https://omsk.hh.ru/vacancy/136368830?query=ML&hhtmFrom=vacancy_search_list,"Чем предстоит заниматься: разработка с нуля и доработка компонентов для обработки биометрических образцов (изображения лиц, голосовые файлы, видео-потоки); развитие ключевого продукта платформы , отвечающего за контроль качества биометрии (проверка ""живости"", четкости, шумов); борьба с техническим долгом : вы будете участвовать в миграции с устаревших монолитных решений на современный стек, улучшать архитектуру модулей и оптимизировать производительность (ускорение инференса); работа в многомодульной среде : прикладной слой (API): интеграция алгоритмов в сервисы; библиотечный слой (ML): работа с ML-моделями и алгоритмами анализа. Мы будем рады, если у вас: опыт коммерческой разработки на Python от 2 лет и уверенное владение PyTorch ; архитектурное мышление. Мы ценим умение писать чистый, поддерживаемый код (Type Hints, SOLID, паттерны) выше, чем знание конкретной библиотеки. Стек меняется, а навык проектирования — нет; опыт исследования open-source решений : вы умеете сравнивать архитектуры моделей, анализировать обучаемость и понимаете, как оценивать наличие и качество открытых весов; понимание жизненного цикла данных: сбор, подготовка, аугментация и разметка датасетов ; навыки построения метрик для ML-моделей (ROC-AUC, EER, FAR/FRR) и умение интерпретировать их поведение. Будет большим плюсом: опыт составления и анализа алгоритмов Computer Vision для обработки лиц (Landmarks, Liveness) или алгоритмов обработки голоса (VAD, ASR, Speaker Recognition); практика с библиотеками: OpenCV, dlib, ONNX Runtime, Matplotlib, Pandas ; навыки Fine-tuning моделей под специфические прикладные задачи (дообучение на своих датасетах); опыт разработки на C++ (для написания высокопроизводительных биндингов или оптимизации); принципиальное знакомство с Docker и контейнеризацией; умение работать самостоятельно : разбирать требования, предлагать несколько решений с оценкой рисков и доводить задачи до релиза без постоянного контроля. Мы предлагаем: работу в аккредитованной IT-компании, участие в развитии стратегической государственной системы; гибридный формат: 2 дня в офисе (Москва или Воронеж), 3 дня удалённо; официальное оформление по ТК РФ, «белая» заработная плата. квартальные и годовые премии; ДМС после прохождения испытательного срока; кафетерий льгот (дополнительные опции на выбор); возможности для обучения, повышения квалификации, участия в профильных конференциях; молодой, профессиональный коллектив и интересные задачи.",предстоять заниматься разработка нуль доработка компонент обработка биометрический образец изображение лицо голосовой файл видео-поток развитие ключевой продукт платформа отвечать контроль качество биометрия проверка живость чёткость шум борьба технический долг участвовать миграция устаревший монолитный решение современный стек улучшать архитектура модуль оптимизировать производительность ускорение инференс работа многомодульный среда прикладной слой api интеграция алгоритм сервис библиотечный слой ml работа ml-модель алгоритм анализ рада опыт коммерческий разработка python num год уверенный владение pytorch архитектурный мышление ценить умение писать чистый поддерживать код type hints solid паттерн выше знание конкретный библиотека стек меняться навык проектирование опыт исследование open-source решение уметь сравнивать архитектура модель анализировать обучаемость понимать оценивать наличие качество открытый вес понимание жизненный цикл данные сбор подготовка аугментация разметка датасет навык построение метрика ml-модель roc-auc eer far frr умение интерпретировать поведение больший плюс опыт составление анализ алгоритм computer vision обработка лицо landmarks liveness алгоритм обработка голос vad asr speaker recognition практика библиотека opencv dlib onnx runtime matplotlib pandas навык fine-tuning модель специфический прикладной задача дообучение свой датасет опыт разработка c написание высокопроизводительный биндинг оптимизация принципиальный знакомство docker контейнеризация умение работать самостоятельно разбирать требование предлагать несколько решение оценка риск доводить задача релиз постоянный контроль предлагать работа аккредитовать it-компания участие развитие стратегический государственный система гибридный формат num день офис москва воронеж num день удалённый официальный оформление тк рф белый заработный плата квартальный годовой премия дмс прохождение испытательный срок кафетерий льгота дополнительный опция выбор возможность обучение повышение квалификация участие профильный конференция молодой профессиональный коллектив интересный задача
0,ML-аналитик (CV),АО ЭДС,"от400 000₽за месяц,на рукиОпыт 3-6 летВыплаты: Два раза в месяц",,,₽,False,Опыт 3-6 лет,"Ижевск, р-н Индустриальный",https://omsk.hh.ru/vacancy/137444601?query=ML&hhtmFrom=vacancy_search_list,"Современная и высокотехнологичная компания, занимающаяся разработкой высоконагруженных систем и приложений, прикладного ПО и продуктов в области искусственного интеллекта, нейронных сетей и машинного обучения в поиске ML -аналитика в области Computer Vision. Обязанности: • Исследования и мониторинг - Мониторинг SOTA-решений в CV (PapersWithCode, arXiv, CVPR/ICCV); - Анализ архитектур конкурентов (через публикации, патенты, открытые репозитории); - Анализ демо / презентаций конкурентов и технический разбор; - Поиск и бенчмаркинг открытых датасетов по запросу от ML-инженеров. • Аудит данных - EDA датасетов: анализ дисбаланса классов, различных значимых распределений (сезонность, время суток и т.д.); - Анализ качества разметки: поиск ошибок, проблемных мест, предложения по изменению классов / правил разметки; - Gap-анализ: сравнение доступных данных с требованиями целевых сценариев (domain gap analysis). • Поддержка команды - Разработка инструментов визуализации статистики датасетов (дашборды качества данных); - Автоматизация отчетности по метрикам моделей (сравнение версий моделей по классам); - Ведение технической документации. Требования: • Способность извлекать технические инсайты из визуальных материалов (анализ артефактов в демо-видео, понимание ""как это работает"" по внешним проявлениям); • Навыки системного мышления: умение оценивать идеи не только с точки зрения технической новизны, но и с учетом имеющихся данных и инфраструктуры; • Уверенное владение Python (pandas, numpy, matplotlib, opencv) для анализа данных и прототипирования; • Глубокое понимание метрик Computer Vision (mAP, IoU, F1-score, MOTA/MOTP) и принципов оценки качества моделей детекции и трекинга; • Опыт работы с форматами данных (COCO, YOLO, VOC) и инструментами разметки (CVAT, LabelStudio); • Умение читать и анализировать научные статьи (arXiv, CVPR, ICCV) и техническую документацию; • Понимание ограничений edge-устройств и мобильных платформ (оптимизация моделей, квантизация, работа с ограниченными ресурсами); • Технический английский (чтение и анализ первоисточников). Будет плюсом: • Опыт работы с видеоаналитикой в сценариях с высокой динамикой (движущиеся камеры, сложные условия съемки); • Понимание аппаратных архитектур (Jetson, мобильные процессоры, NPU) и их влияния на выбор алгоритмов; • Опыт в технологическом консалтинге, стратегическом анализе или research-ролях; • Знание методов синтетической генерации данных (simulation, domain randomization); • Базовое понимание MLOps и жизненного цикла ML-моделей (версионирование данных, A/B тестирование). Условия: • Работа в аккредитованной IT компании; • Оформление в соответствии с ТК РФ (белая ЗП, выплаты больничных и отпускных); • Премия по результатам работы за месяц/год; • ДМС-получение услуг в соответствии со стажем работы в компании; • Оплата такси до офиса и обратно (до 30 тыс. в месяц); • Организованное питание (обед, ужин – все вместе 150 руб./день) на территории компании; • Комфортные условия труда (современные ПК, два монитора, дооснащение по просьбе сотрудника); • Дополнительные выплаты при важных событиях в жизни (рождение ребенка, свадьба и тд); • Подарки к праздникам для детей; • Путевки в детские лагеря; • Компенсация затрат на переезд в г. Ижевск, материальная помощь при аренде жилья.",современный высокотехнологичный компания заниматься разработка высоконагруженный система приложение прикладной продукт область искусственный интеллект нейронный сеть машинный обучение поиск ml -аналитик область computer vision обязанность исследование мониторинг мониторинг sota-решение cv paperswithcode arxiv cvpr iccv анализ архитектура конкурент публикация патент открытый репозиторий анализ дть презентация конкурент технический разбор поиск бенчмаркинг открытый датасет запрос ml-инженер аудит данные eda датасет анализ дисбаланс класс различный значимый распределение сезонность время сутки далее анализ качество разметка поиск ошибка проблемный место предложение изменение класс правило разметка gap-анализ сравнение доступный данные требование целевой сценарий domain gap analysis поддержка команда разработка инструмент визуализация статистика датасет дашборд качество данные автоматизация отчётность метрика модель сравнение версия модель класс ведение технический документация требование способность извлекать технический инсайт визуальный материал анализ артефакт демо-видео понимание это работать внешний проявление навык системный мышление умение оценивать идея точка зрение технический новизна учёт иметься данные инфраструктура уверенный владение python pandas numpy matplotlib opencv анализ данные прототипирование глубокий понимание метрика computer vision map iou fnum-score mota motp принцип оценка качество модель детекции трекинг опыт работа формат данные coco yolo voc инструмент разметка cvat labelstudio умение читать анализировать научный статья arxiv cvpr iccv технический документация понимание ограничение edge-устройство мобильный платформа оптимизация модель квантизация работа ограниченный ресурс технический английский чтение анализ первоисточник плюс опыт работа видеоаналитика сценарий высокий динамика двигаться камера сложный условие съёмка понимание аппаратный архитектура jetson мобильный процессор npu влияние выбор алгоритм опыт технологический консалтинг стратегический анализ research-роль знание метод синтетический генерация данные simulation domain randomization базовый понимание mlops жизненный цикл ml-модель версионирование данные a b тестирование условие работа аккредитовать it компания оформление соответствие тк рф белый зп выплата больничный отпускной премия результат работа месяц год дмс-получение услуга соответствие стаж работа компания оплата такси офис обратно num тыс месяц организовать питание обед ужин всё вместе num руб день территория компания комфортный условие труд современный пк монитор дооснащение просьба сотрудник дополнительный выплата важный событие жизнь рождение ребёнок свадьба тд подарок праздник ребёнок путёвка детский лагерь компенсация затрата переезд г ижевск материальный помощь аренда жильё
